,JS_divergence
1489,0.18717457
1490,0.3101993
1491,0.18064295
1492,0.20255244
1493,0.1755957
1494,0.30153924
1495,0.27312517
1496,0.37728846
1497,0.4776607
1498,0.3201716
1499,0.19448537
1500,0.45119458
1501,0.5402639
1502,0.37905473
1503,0.43791825
1504,0.14858913
1505,0.2279776
1506,0.5081048
1507,0.44869447
1508,0.17317198
1509,0.28103405
1510,0.35033765
1511,0.14746536
1512,0.13042772
1513,0.32897437
1514,0.12521394
1515,0.30458897
1516,0.21138677
1517,0.27232134
1518,0.49698222
1519,0.4784731
1520,0.16876751
1521,0.46283975
1522,0.47344077
1523,0.39345416
1524,0.31467113
1525,0.14013807
1526,0.2820059
1527,0.32510716
1528,0.2864275
1529,0.5373807
1530,0.3815123
1531,0.40201524
1532,0.18035899
1533,0.3193186
1534,0.26353124
1535,0.334435
1536,0.38372916
1537,0.37189537
1538,0.4253367
1539,0.17558801
1540,0.1893028
1541,0.18746467
1542,0.49316305
1543,0.28730077
1544,0.26725104
1545,0.21777523
1546,0.2951476
1547,0.2032417
1548,0.5054979
1549,0.24455503
1550,0.4095915
1551,0.18333648
1552,0.4566962
1553,0.18022907
1554,0.43724206
1555,0.26782447
1556,0.16542712
1557,0.13541761
1558,0.48513395
1559,0.21119478
1560,0.4689404
1561,0.28455314
1562,0.4244853
1563,0.15903962
1564,0.1771771
1565,0.11885388
1566,0.51697636
1567,0.26769906
1568,0.1689683
1569,0.2010045
1570,0.41112155
1571,0.2777822
1572,0.2629578
1573,0.3120254
1574,0.31252205
1575,0.18711102
1576,0.41345292
1577,0.18846461
1578,0.19338237
1579,0.21886681
1580,0.15570992
1581,0.17351508
1582,0.24329776
1583,0.5481638
1584,0.31778196
1585,0.5140137
1586,0.31937647
1587,0.17283309
1588,0.5066957
1589,0.16181761
1590,0.25415128
1591,0.2286926
1592,0.14552468
1593,0.3918923
1594,0.31154788
1595,0.47741675
1596,0.17917708
1597,0.31240556
1598,0.5114435
1599,0.26970655
1600,0.18320765
1601,0.24754354
1602,0.07458563
1603,0.33363855
1604,0.11686812
1605,0.1980874
1606,0.18569584
1607,0.18253532
1608,0.172876
1609,0.2162286
1610,0.24941748
1611,0.26121426
1612,0.35963544
1613,0.20180959
1614,0.14599054
1615,0.5089184
1616,0.17037088
1617,0.3087227
1618,0.5302668
1619,0.54701614
1620,0.17963879
1621,0.29762924
1622,0.31101918
1623,0.18023014
1624,0.45403785
1625,0.50403935
1626,0.2304499
1627,0.42763662
1628,0.4975813
1629,0.18718447
1630,0.2985067
1631,0.21130106
1632,0.3202864
1633,0.114806
1634,0.26002496
1635,0.52356565
1636,0.2816488
1637,0.14027193
1638,0.17724413
1639,0.21130565
1640,0.46197242
1641,0.20249191
1642,0.18995406
1643,0.18880835
1644,0.18639393
1645,0.53393435
1646,0.3302241
1647,0.51992667
1648,0.10131629
1649,0.54369843
1650,0.3801791
1651,0.17792359
1652,0.38448972
1653,0.121158436
1654,0.35823154
1655,0.18083419
1656,0.19225246
1657,0.38160977
1658,0.18732218
1659,0.22238994
1660,0.48879814
1661,0.18282372
1662,0.16730575
1663,0.44793344
1664,0.42066878
1665,0.3428682
1666,0.18973431
